#tensecode	tense	pronoun	description	case	case_weak	case_cause	subject	extra
TensePast	الماضي المعلوم	أنا	فعل ماض	مبني على السكون		لاتصاله بالتاء المتحركة	والتاء: ضمير متصل مبني في محل رفع فاعل	
TensePast	الماضي المعلوم	أنت	فعل ماض	مبني على السكون		لاتصاله بالتاء المتحركة	والتاء: ضمير متصل مبني في محل رفع فاعل	
TensePast	الماضي المعلوم	أنتِ	فعل ماض	مبني على السكون		لاتصاله بالتاء المتحركة	والتاء: ضمير متصل مبني في محل رفع فاعل	
TensePast	الماضي المعلوم	هو	فعل ماض	مبني على الفتح الظاهر على آخره	مبني على الفتح المقدّر منع من ظهوره التعذّر			
TensePast	الماضي المعلوم	هي	فعل ماض	مبني على الفتح الظاهر على آخره	مبني على الفتح المقدّر منع من ظهوره التعذّر			
TensePast	الماضي المعلوم	أنتما	فعل ماض	مبني على السكون		لاتصاله بالتاء المتحركة	والتاء: ضمير متصل مبني في محل رفع فاعل	
TensePast	الماضي المعلوم	أنتما مؤ	فعل ماض	مبني على السكون		لاتصاله بالتاء المتحركة	والتاء: ضمير متصل مبني في محل رفع فاعل	
TensePast	الماضي المعلوم	هما	فعل ماض	مبني على الفتح الظاهر	مبني على الفتح المقدّر منع من ظهوره التعذّر		وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	
TensePast	الماضي المعلوم	هما مؤ	فعل ماض	مبني على الفتح الظاهر	مبني على الفتح المقدّر منع من ظهوره التعذّر		وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	
TensePast	الماضي المعلوم	نحن	فعل ماض	مبني على السكون		 لاتصاله بـ (نا) الفاعلين	ونا: ضمير متصل مبني في محل رفع فاعل	
TensePast	الماضي المعلوم	أنتم	فعل ماض	مبني على السكون		لاتصاله بالتاء المتحركة	والتاء: ضمير متصل مبني في محل رفع فاعل	
TensePast	الماضي المعلوم	أنتن	فعل ماض	مبني على السكون		لاتصاله بالتاء المتحركة	والتاء: ضمير متصل مبني في محل رفع فاعل	
TensePast	الماضي المعلوم	هم	فعل ماض	مبني على الضم		لاتصاله بواو الجماعة	 والواو: ضمير متصل مبني في محل رفع فاعل	
TensePast	الماضي المعلوم	هن	فعل ماض	مبني على السكون		لاتصاله بنون النسوة	 والنون: ضمير متصل مبني في محل رفع فاعل	
TenseFuture	المضارع المعلوم	أنا	فعل مضارع  	مرفوع وعلامة رفعه الضمة الظاهرة على آخره	مرفوع وعلامة رفعه الضمة المقدرة على آخره		والفاعل ضمير مستتر وجوبًا تقديره أنا	
TenseFuture	المضارع المعلوم	أنت	فعل مضارع  	مرفوع وعلامة رفعه الضمة الظاهرة على آخره	مرفوع وعلامة رفعه الضمة المقدرة على آخره		والفاعل ضمير مستتر وجوبًا تقديره أنتَ	
TenseFuture	المضارع المعلوم	أنتِ	فعل مضارع  	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	وياء المخاطبة ضمير متصل مبني في محل رفع فاعل	
TenseFuture	المضارع المعلوم	هو	فعل مضارع  	مرفوع وعلامة رفعه الضمة الظاهرة على آخره	مرفوع وعلامة رفعه الضمة المقدرة على آخره			
TenseFuture	المضارع المعلوم	هي	فعل مضارع  	مرفوع وعلامة رفعه الضمة الظاهرة على آخره	مرفوع وعلامة رفعه الضمة المقدرة على آخره			
TenseFuture	المضارع المعلوم	أنتما	فعل مضارع  	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	
TenseFuture	المضارع المعلوم	أنتما مؤ	فعل مضارع  	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	
TenseFuture	المضارع المعلوم	هما	فعل مضارع  	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	
TenseFuture	المضارع المعلوم	هما مؤ	فعل مضارع  	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	
TenseFuture	المضارع المعلوم	نحن	فعل مضارع  	مرفوع وعلامة رفعه الضمة الظاهرة على آخره	مرفوع وعلامة رفعه الضمة المقدرة على آخره		ونا: ضمير متصل مبني في محل رفع فاعل	
TenseFuture	المضارع المعلوم	أنتم	فعل مضارع  	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	 والواو: ضمير متصل مبني في محل رفع فاعل	
TenseFuture	المضارع المعلوم	أنتن	فعل مضارع  	مبني على السكون		لاتصاله بنون النسوة	والنون: ضمير متصل مبني في محل رفع فاعل	
TenseFuture	المضارع المعلوم	هم	فعل مضارع  	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	 والواو: ضمير متصل مبني في محل رفع فاعل	
TenseFuture	المضارع المعلوم	هن	فعل مضارع  	مبني على السكون		لاتصاله بنون النسوة	والنون: ضمير متصل مبني في محل رفع فاعل	
TenseImperative	الأمر	أنت	فعل أمر	مبني على السكون			والفاعل ضمير مستتر وجوبًا تقديره أنتَ	
TenseImperative	الأمر	أنتِ	فعل أمر	مبني على حذف النون		لاتصاله بياء المخاطبة	وياء المخاطبة ضمير متصل مبني في محل رفع فاعل	
